month,avg_tip_pct,avg_surcharge,avg_tip_amount,avg_fare,month_name
1,19.40045257289011,2.3139095808708214,3.0878932007577804,18.331774312225278,Jan
2,18.09279646078361,2.318804206310202,2.8768966531366638,18.16669146053893,Feb
3,17.940146887720793,2.3121547005053706,3.010528418992231,19.29085117073048,Mar
4,18.38653017585377,2.3113442234019055,3.1266577490411507,19.428997262846813,Apr
5,17.052188015152378,2.296575664468433,3.0764001746525005,20.470836434931623,May
6,16.50322907994576,2.283053616525457,2.9408620384073556,20.942646185578123,Jun
7,16.30995489504819,2.257801862902962,2.8689644521097315,20.53530306981596,Jul
8,16.483392840316608,2.215539792215158,2.9328240231004825,20.339386388906842,Aug
9,16.674909997268724,2.2557858115018803,3.039953833200512,21.120667946089107,Sep
10,17.773509855953684,2.257979933046821,3.2266774542819383,20.371551314451356,Oct
11,17.79553582581645,2.250062639635859,3.163035750718577,19.623794561543903,Nov
12,17.128826380705128,2.0652173913043477,3.698695652173913,21.243478260869566,Dec
