hour,day_of_week,speed_mph
0,0,18.143532993663804
0,1,17.102324267536055
0,2,15.203483509328665
0,3,14.797637697999468
0,4,13.792682127501251
0,5,11.84809008465768
0,6,11.869258048479443
1,0,18.31421456519864
1,1,18.073316501200065
1,2,15.483298556542376
1,3,15.591606660204828
1,4,14.77680988416464
1,5,12.354339390691573
1,6,12.3781539157299
2,0,17.76422235332215
2,1,17.93329963059323
2,2,15.457083217755935
2,3,16.004973102785097
2,4,15.27492802627626
2,5,13.010214063522424
2,6,13.180026715793815
3,0,18.519899755546092
3,1,18.509608459296107
3,2,16.505310393601434
3,3,17.043126007212145
3,4,16.1719323091792
3,5,14.254067746552385
3,6,14.41923366987314
4,0,20.031114525235687
4,1,20.191237822927008
4,2,19.1973572730254
4,3,19.48489241387361
4,4,18.662195561694347
4,5,16.04688487035019
4,6,16.112717255560195
5,0,18.322456938665045
5,1,17.805467268212833
5,2,17.731648104576387
5,3,17.732754440521177
5,4,18.430908415365064
5,5,18.818384538044313
5,6,19.158422381426064
6,0,15.241549933874706
6,1,14.581927177574416
6,2,14.691582183650118
6,3,14.691168688896862
6,4,15.440152296993727
6,5,18.25570953406152
6,6,19.37130863994021
7,0,12.293014690122401
7,1,11.569442150903143
7,2,11.574489400716484
7,3,11.653992940042736
7,4,12.46306894488574
7,5,16.94812815899163
7,6,18.289246006421187
8,0,10.369301332547245
8,1,9.480073461708434
8,2,9.507872639827731
8,3,9.617955298704382
8,4,10.657708638007056
8,5,14.681260576456706
8,6,16.21839454260873
9,0,9.953495731200396
9,1,8.860629521298735
9,2,8.88317155454293
9,3,8.985537986529758
9,4,10.102850849781536
9,5,13.088617235303696
9,6,14.541916937019792
10,0,9.724672560277762
10,1,8.546524845714481
10,2,8.504128889498807
10,3,8.632990220329585
10,4,9.572216145970033
10,5,11.951108031258343
10,6,13.140545997881818
11,0,9.494146542117852
11,1,8.294135297343463
11,2,8.229004750755019
11,3,8.266366499942562
11,4,9.161119870491177
11,5,10.922863746565536
11,6,12.082976887111549
12,0,9.543678338982339
12,1,8.418412335707675
12,2,8.258590805481642
12,3,8.323618233038516
12,4,9.203426498822457
12,5,10.358179083863288
12,6,11.433733512814856
13,0,9.668247000466291
13,1,8.719183427791593
13,2,8.326284470227247
13,3,8.439470798948719
13,4,9.23280592882902
13,5,9.912784724158355
13,6,11.060526989612342
14,0,9.579301579022255
14,1,8.605090222455953
14,2,8.332915494607574
14,3,8.305816343211209
14,4,8.83592080099682
14,5,9.920062576447219
14,6,10.800370149445545
15,0,9.316255816831196
15,1,8.313894016340928
15,2,8.060695086515286
15,3,7.936438497704998
15,4,8.334887827396999
15,5,9.668032486738744
15,6,10.710106833539422
16,0,9.512010234036287
16,1,8.492399679848914
16,2,8.18350634385492
16,3,8.06129281336198
16,4,8.506092703526148
16,5,9.431408695296346
16,6,10.609275701327226
17,0,9.57565641352613
17,1,8.450860537747898
17,2,8.06640979782041
17,3,8.013529977978434
17,4,8.69895924401344
17,5,9.350743869297613
17,6,10.592697651376433
18,0,10.156818331965214
18,1,8.990782571224196
18,2,8.57558362345975
18,3,8.472535165776216
18,4,9.020147160749556
18,5,9.379809110923254
18,6,10.909120114284875
19,0,11.336319423100877
19,1,10.373806117321584
19,2,9.676326898713247
19,3,9.442148102308742
19,4,9.415273072314445
19,5,9.426577895625712
19,6,11.743983101443352
20,0,12.481237639177676
20,1,11.548003522188893
20,2,11.085800159176681
20,3,10.691285006612912
20,4,10.555429499518917
20,5,10.145401823733172
20,6,12.527720258921269
21,0,12.85738931303088
21,1,11.930256650982193
21,2,11.520889195017949
21,3,11.11699365747808
21,4,10.688631655642718
21,5,10.405511128108735
21,6,13.323891461776313
22,0,13.575418436347208
22,1,12.435570353612587
22,2,11.941479743431735
22,3,11.59287315593301
22,4,10.758728747348554
22,5,10.451980973152292
22,6,14.608186082501687
23,0,15.32631659448905
23,1,13.945503784901387
23,2,13.308725625097805
23,3,12.673878234712877
23,4,11.321923779099082
23,5,11.086765974873089
23,6,16.76440075231808
