zone_id,dropoff_count,LocationID,Borough,Zone,service_zone,zone_type
204,193,204,Staten Island,Rossville/Woodrow,Boro Zone,Other
205,25857,205,Queens,Saint Albans,Boro Zone,Other
206,1047,206,Staten Island,Saint George/New Brighton,Boro Zone,Other
207,2591,207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,Other
208,13013,208,Bronx,Schuylerville/Edgewater Park,Boro Zone,Other
209,132762,209,Manhattan,Seaport,Yellow Zone,Congestion Zone
210,15132,210,Brooklyn,Sheepshead Bay,Boro Zone,Other
211,396823,211,Manhattan,SoHo,Yellow Zone,Congestion Zone
212,8936,212,Bronx,Soundview/Bruckner,Boro Zone,Other
213,17570,213,Bronx,Soundview/Castle Hill,Boro Zone,Other
214,1298,214,Staten Island,South Beach/Dongan Hills,Boro Zone,Other
215,22431,215,Queens,South Jamaica,Boro Zone,Other
216,65674,216,Queens,South Ozone Park,Boro Zone,Other
217,17776,217,Brooklyn,South Williamsburg,Boro Zone,Other
218,18549,218,Queens,Springfield Gardens North,Boro Zone,Other
219,23016,219,Queens,Springfield Gardens South,Boro Zone,Other
220,21187,220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,Other
221,1236,221,Staten Island,Stapleton,Boro Zone,Other
222,11703,222,Brooklyn,Starrett City,Boro Zone,Other
223,66239,223,Queens,Steinway,Boro Zone,Other
224,178885,224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,Congestion Zone
225,74028,225,Brooklyn,Stuyvesant Heights,Boro Zone,Other
226,84666,226,Queens,Sunnyside,Boro Zone,Other
227,16401,227,Brooklyn,Sunset Park East,Boro Zone,Other
228,39615,228,Brooklyn,Sunset Park West,Boro Zone,Other
229,840626,229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,Congestion Zone
230,1332670,230,Manhattan,Times Sq/Theatre District,Yellow Zone,Congestion Zone
231,730740,231,Manhattan,TriBeCa/Civic Center,Yellow Zone,Congestion Zone
232,243205,232,Manhattan,Two Bridges/Seward Park,Yellow Zone,Congestion Zone
233,626230,233,Manhattan,UN/Turtle Bay South,Yellow Zone,Congestion Zone
234,1051258,234,Manhattan,Union Sq,Yellow Zone,Congestion Zone
235,15911,235,Bronx,University Heights/Morris Heights,Boro Zone,Other
236,1763511,236,Manhattan,Upper East Side North,Yellow Zone,Congestion Zone
237,1751668,237,Manhattan,Upper East Side South,Yellow Zone,Congestion Zone
238,877575,238,Manhattan,Upper West Side North,Yellow Zone,Congestion Zone
239,1106337,239,Manhattan,Upper West Side South,Yellow Zone,Congestion Zone
240,2863,240,Bronx,Van Cortlandt Park,Boro Zone,Other
241,13722,241,Bronx,Van Cortlandt Village,Boro Zone,Other
242,14449,242,Bronx,Van Nest/Morris Park,Boro Zone,Other
243,128354,243,Manhattan,Washington Heights North,Boro Zone,Congestion Zone
244,207490,244,Manhattan,Washington Heights South,Boro Zone,Congestion Zone
245,568,245,Staten Island,West Brighton,Boro Zone,Other
246,879353,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,Congestion Zone
247,25089,247,Bronx,West Concourse,Boro Zone,Other
248,8279,248,Bronx,West Farms/Bronx River,Boro Zone,Other
249,779430,249,Manhattan,West Village,Yellow Zone,Congestion Zone
250,9916,250,Bronx,Westchester Village/Unionport,Boro Zone,Other
251,645,251,Staten Island,Westerleigh,Boro Zone,Other
252,11192,252,Queens,Whitestone,Boro Zone,Other
253,1000,253,Queens,Willets Point,Boro Zone,Other
254,16483,254,Bronx,Williamsbridge/Olinville,Boro Zone,Other
255,129903,255,Brooklyn,Williamsburg (North Side),Boro Zone,Other
256,112581,256,Brooklyn,Williamsburg (South Side),Boro Zone,Other
257,21623,257,Brooklyn,Windsor Terrace,Boro Zone,Other
258,22194,258,Queens,Woodhaven,Boro Zone,Other
259,9942,259,Bronx,Woodlawn/Wakefield,Boro Zone,Other
260,41781,260,Queens,Woodside,Boro Zone,Other
261,235687,261,Manhattan,World Trade Center,Yellow Zone,Congestion Zone
262,612860,262,Manhattan,Yorkville East,Yellow Zone,Congestion Zone
263,843049,263,Manhattan,Yorkville West,Yellow Zone,Congestion Zone
264,97149,264,Unknown,,,Other
265,198438,265,,Outside of NYC,,Other
